"data_pedido","sup","inf","data_limite","id_cliente","cliente_premium","id_pedido"
"2024-03-19 14:48:59.0","1;2;3;4;5","1;2;3;4;5","2024-04-01 14:48:59.0","719960",0,1
"2024-03-20 10:14:25.0","11;12;13;14;15;16","11;12;13;14;15;16","2024-04-01 10:14:25.0","595860",0,2
"2024-03-20 10:24:50.0","17;18;19;20;21","17;18;19;20;21;22","2024-04-01 10:24:50.0","358956",0,3
"2024-03-20 10:25:59.0","6;7;8;9;10","6;7;8;9;10","2024-04-01 10:25:59.0","983165",0,4
"2024-03-20 10:35:43.0","34;35;36;37;38","34;35;36;37;38","2024-04-01 10:35:43.0","480537",1,5
"2024-03-20 11:20:01.0","1;2;3;4;5","1;2;3;4;5","2024-04-01 11:20:01.0","299257",1,6
"2024-03-20 11:21:23.0","1;2;3;4;5",,"2024-04-01 11:21:23.0","299257",1,7
"2024-03-20 11:29:16.0","1;2;3;4;5","1;2;3;4;5","2024-04-01 11:29:16.0","542717",1,8
"2024-03-20 11:34:04.0","1;2;3;4;5","1;2;3;4;5","2024-04-01 11:34:04.0","366782",0,9
"2024-03-20 11:43:59.0",,"16;17;18;19;20","2024-04-01 11:43:59.0","394178",0,10
"2024-03-20 12:09:09.0","1;2;3;4;5","1;2;3;4;5","2024-04-01 12:09:09.0","990432",0,11
"2024-03-20 12:15:02.0",,"20;21;22;23;24;25","2024-04-01 12:15:02.0","542717",1,12
"2024-03-20 12:15:34.0","11;12;13","11;12;13","2024-04-01 12:15:34.0","542717",1,13
"2024-03-20 12:17:42.0","6;7;8;9;10","6;7;8;9;10","2024-04-01 12:17:42.0","542717",1,14
"2024-03-20 12:19:14.0","6;7;8;9;10","6;7;8;9;10","2024-04-01 12:19:14.0","542717",1,15
"2024-03-20 12:25:25.0","6;7;8;9;10","6;7;8;9;10","2024-04-01 12:25:25.0","366782",0,16
"2024-03-20 12:26:33.0","6;7","6;7;8;9;10;11;12","2024-04-01 12:26:33.0","751693",0,17
"2024-03-20 12:27:11.0","6;7;8;9;10","6;7;8;9;10","2024-04-01 12:27:11.0","751693",0,18
"2024-03-20 12:27:42.0","11;12;13;14;15;16","11;12;13;14;15;16","2024-04-01 12:27:42.0","963296",0,19
"2024-03-20 13:50:52.0",,"23;24;25;26;27","2024-04-01 13:50:52.0","800686",0,20
"2024-03-20 13:59:01.0","1;2;3;4;5","1;2;3;4;5","2024-04-01 13:59:01.0","552139",0,21
"2024-03-20 14:00:35.0","6;7;8;9;10","6;7;8;9;10","2024-04-01 14:00:35.0","237651",0,22
"2024-03-20 14:01:12.0","6;7;8;9;10","6;7;8;9;10","2024-04-01 14:01:12.0","237651",0,23
"2024-03-20 14:28:18.0","6;7;8;9;10","6;7;8;9;10","2024-04-01 14:28:18.0","466180",0,24
